YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,1,1,1,1/1/2024 0:00,AA,19805,2923,ORD,"Chicago, IL",IL,Illinois,CLE,"Cleveland, OH",Ohio,2057,2119,22,22,1,2326,15,15,1,67,48,1,316,0,0,0,0,15
2024,1,1,1,1/1/2024 0:00,AA,19805,2924,ORD,"Chicago, IL",IL,Illinois,LAX,"Los Angeles, CA",California,1240,1237,-3,0,0,1439,-34,0,0,242,225,1,1744,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2928,ORD,"Chicago, IL",IL,Illinois,MCO,"Orlando, FL",Florida,1105,1130,25,25,1,1458,12,12,0,148,121,1,1005,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2934,ORD,"Chicago, IL",IL,Illinois,ATL,"Atlanta, GA",Georgia,0955,0954,-1,0,0,1234,-18,0,0,100,82,1,606,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,295,ORD,"Chicago, IL",IL,Illinois,PBI,"West Palm Beach/Palm Beach, FL",Florida,1850,1841,-9,0,0,2236,-17,0,0,175,137,1,1144,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2973,ORD,"Chicago, IL",IL,Illinois,IND,"Indianapolis, IN",Indiana,2040,2032,-8,0,0,2235,-10,0,0,63,34,1,177,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2984,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,0503,0503,0,0,0,0904,-5,0,0,181,160,1,1197,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2986,ORD,"Chicago, IL",IL,Illinois,SAN,"San Diego, CA",California,2025,2035,10,10,0,2242,-15,0,0,247,214,1,1723,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2989,ORD,"Chicago, IL",IL,Illinois,DCA,"Washington, DC",Virginia,1613,1609,-4,0,0,1907,8,8,0,118,101,1,612,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,319,ORD,"Chicago, IL",IL,Illinois,PHX,"Phoenix, AZ",Arizona,0600,0553,-7,0,0,0842,-11,0,0,229,197,1,1440,,,,,
